Level,2000,2010
Total,"786,290","794,934"
Urbanized area,"537,176","571,011"
Urban cluster,"81,552","75,453"
Rural,"167,562","148,470"
Not defined,NA,146
"<$20,000","44,407","28,207"
"$20,000 to <$35,000","226,606","137,765"
"$35,000 to <$50,000","240,616","200,367"
"$50,000 to <$75,000","189,993","236,827"
">=$75,000","84,669","191,621"
