Level,2000,2010
Total,"5,280,214","6,182,882"
Urbanized area,"2,245,602","2,793,824"
Urban cluster,"724,745","796,454"
Rural,"2,309,867","2,592,604"
Not defined,NA,"2,686"
"<$20,000","251,146","201,663"
"$20,000 to <$35,000","1,876,701","1,185,560"
"$35,000 to <$50,000","1,829,414","1,978,146"
"$50,000 to <$75,000","984,837","1,860,065"
">=$75,000","338,116","954,762"
