Level,2000,2010
Total,"71,807,328","73,690,271"
Urbanized area,"49,057,184","52,932,624"
Urban cluster,"7,447,648","6,994,464"
Rural,"15,302,496","13,763,183"
Not defined,NA,"13,555"
"<$20,000","4,055,407","2,614,804"
"$20,000 to <$35,000","20,694,588","12,770,843"
"$35,000 to <$50,000","21,974,042","18,573,954"
"$50,000 to <$75,000","17,350,990","21,953,876"
">=$75,000","7,732,301","17,763,239"
