Level,NO2_2000,NO2_2010,PM10_2000,PM10_2010,PM25_2000,PM25_2010
Total,20.6,13.2,21.5,17.9,12.1,9
Urbanized area,29.7,18.4,23.4,19.1,13.3,9.7
Urban cluster,18.7,12,21.5,19.1,11.9,9.4
Rural,12.4,8,19.5,16.3,10.9,8.1
Not defined,NA,16,NA,18.2,NA,8.8
"<$20,000",24.2,16.1,23.4,19.2,13.3,10.3
"$20,000 to <$35,000",18.3,13.2,21.5,18.2,11.9,9.5
"$35,000 to <$50,000",19.1,11.8,21.2,17.8,11.9,8.9
"$50,000 to <$75,000",24.3,12.8,21.6,18,12.4,8.7
">=$75,000",28.8,16.5,21.1,17.7,12.7,8.7
