Level,2000,2010
Total,"786,300","794,900"
Urbanized area,"537,200","571,000"
Urban cluster,"81,600","75,500"
Rural,"167,600","148,500"
Not defined,NA,100
"<$20,000","44,400","28,200"
"$20,000 to <$35,000","226,600","137,800"
"$35,000 to <$50,000","240,600","200,400"
"$50,000 to <$75,000","190,000","236,800"
">=$75,000","84,700","191,600"
